Ballot Order,Candidate Name,Candidate ID,Votes,Percentage of Votes
39,Ahmad Khan,18-79-0042,24870,23.90%
27,Mawlawi Mohammad Islam Mohammadi,18-79-0021,9477,9.11%
7,Haji Sultani,18-79-0012,7002,6.73%
2,Al-haj Makhdoom Mahibullah Furqani,18-79-0079,4751,4.57%
12,Eidi Mohammad Beg,18-79-0085,4449,4.28%
15,Mohammad Zahir Wahdat,18-79-0031,4358,4.19%
1,Dilbar Nazari,18-79-0043,4344,4.17%
22,Ahmadullah Naweed,18-79-0014,4052,3.89%
4,Kamaluddeen,18-79-0025,3842,3.69%
11,Doctor Ikramuddeen Wakeelzada,18-79-0039,3454,3.32%
9,Zabora Aryanfar,18-79-0006,3034,2.92%
19,Mohammad Ibrahim Baidar,18-79-0007,2857,2.75%
6,Qazi Mohammad Halim Atif,18-79-0063,2699,2.59%
29,Al-haj Mohammad Qasim Zindi,18-79-0061,2297,2.21%
13,Abdul Wahid Khoram,18-79-0005,2250,2.16%
10,Zabit Shujauddeen,18-79-0064,2104,2.02%
37,Abdul Latif Beg Alipur,18-79-0010,1918,1.84%
28,Sayyad Nasir Hussaini,18-79-0022,1812,1.74%
21,Mohammad Hashmat Atayee,18-79-0015,1617,1.55%
35,Afifa Aminpur,18-79-0004,1392,1.34%
33,Juma khan,18-79-0008,1333,1.28%
32,Doctor Ahmad Jan,18-79-0051,1308,1.26%
5,Doctor Jamaluddeen Aryan,18-79-0017,938,0.90%
30,Aziza Muslih,18-79-0084,883,0.85%
20,Mawlawi Khair Mohammad Tatari,18-79-0028,846,0.81%
17,Haji Abdul Hakeem Karimi,18-79-0057,753,0.72%
24,Haji Mohammad Mosa,18-79-0033,722,0.69%
38,Mawlawi Mohammad Dawood,18-79-0082,662,0.64%
34,Eid Mohammad Arifi,18-79-0016,651,0.63%
3,Sayyad Doctor Hussaini,18-79-0011,633,0.61%
26,Sayyad Mirza Hussain Jawadi,18-79-0067,539,0.52%
18,Muhayuddeen,18-79-0019,411,0.39%
31,Haji Mohammad Ibrahim,18-79-0103,359,0.34%
25,Samaruddeen Samar,18-79-0038,333,0.32%
16,Saifoora,18-79-0100,326,0.31%
36,Abdul Ahad Tatari,18-79-0052,316,0.30%
8,Mawlawi Abdul Wahid,18-79-0096,275,0.26%
23,Qazi Amruddeen,18-79-0029,136,0.13%
14,Haji Atiqullah,18-79-0037,57,0.05%